id,status,grain_yield,test_weight,plant_height,maturity_time,heading_time,grain_moisture,lodging,FHB_DON,FHB_grain_INC,FHB_heading_time,Z_DON,Z_INC,ISK_Custom,Acceptability,Net_Merit,Net_Merit2
IL25-S600,Target,-0.00902221,-9.800773227,-1.205146243,-0.250805509,1.504773209,-0.256482835,0.489763636,-0.19351589,4.215691354,0.419607533,-0.607785619,0.67454485,0.033379615,-0.256049623,-83.34972848,-84.37392697
IL25-S601,Target,-0.137861002,-2.250815886,-2.359940463,-1.46983341,-0.87676777,-0.013220201,0.217183372,-0.720142371,0.336731619,-0.682939294,-1.114902093,-0.254640145,-0.684771119,1.367582143,-6.884656284,-1.414327712
IL25-S602,Target,-0.243894583,-0.850010078,-0.844940889,-0.897149304,-0.744349188,-0.003179071,0.334957358,-0.408501711,2.630185461,-0.346063212,-0.81480683,0.29474501,-0.26003091,0.172960812,-0.483994499,0.207848748
IL25-S603,Target,-0.273393207,-2.092759837,-2.220467285,-1.365064422,-1.090753895,-0.09447081,0.031980302,-1.069033157,3.864498151,-0.696223675,-1.450867472,0.590418312,-0.43022458,1.253035733,-3.185981494,1.826161437
IL25-S604,Target,-0.228038262,-5.849081674,-2.916877622,-1.15384123,-0.13922155,-0.02451476,-0.953608785,-1.745644895,4.479550008,-1.174004982,-2.102412678,0.737750843,-0.682330917,3.082405442,-31.77004339,-19.44042162
IL25-S605,Target,0.024456404,-2.630562509,-2.746266045,-1.379367,-0.977092283,-0.436686551,-0.350797402,-0.860982924,2.624936048,-1.450210874,-1.250524906,0.29348754,-0.478518683,1.992988594,-7.859231805,0.112722572
IL25-S606,Target,0.157206692,2.490842878,0.278749441,0.587955061,0.448413146,-0.211433122,-0.193296486,-0.198145281,1.232360205,-0.502166606,-0.612243505,-0.040096891,-0.326170198,0.547031362,20.33002627,22.51815172
IL25-S607,Target,0.189334229,1.564296606,1.081084001,0.210944983,-0.087974603,-0.153344825,-0.085434823,-0.429895222,1.524128061,0.072056377,-0.835407772,0.029794609,-0.402806582,0.218576645,17.34674989,18.22105647
IL25-S608,Target,0.299965049,-0.320433456,0.253771429,0.385786845,0.124345958,-0.354911819,-0.17796476,0.552334701,1.420046047,-0.927984485,0.110433337,0.004862294,0.057647816,0.073334839,-6.878413304,-6.585073949
IL25-S609,Target,0.210149977,5.326966483,-4.008488851,-0.043440684,-0.339435738,-0.347521366,0.084503677,0.049190524,-0.72494459,-0.822912724,-0.374070785,-0.508959259,-0.441515022,1.823374758,46.16030098,53.45380001
IL25-S61,Target,0.006026189,-11.03417743,-2.884805918,1.002753435,-0.43416786,-0.230072589,-0.397585395,-0.779452981,4.516395621,0.499630385,-1.172015415,0.746577021,-0.212719197,1.782009114,-86.68975484,-79.56171838
IL25-S610,Target,0.24427482,-4.654952178,0.091779999,0.332385788,-0.516772864,-0.470977633,0.208317599,0.192329051,1.96183182,-0.393227464,-0.236235131,0.134644309,-0.050795411,-0.241876108,-38.23427693,-39.20178136
