"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1201","13","3","US16-IL-062-031 x IL18MSFRS-18","IL18MSFRS-18 x US16-IL-062-031","13 x 3","3 x 13",132.76,36.94,59,89.61,1.15,9.09,426.43,35,16.66
"1202","29","3","US16-IL-062-109 x IL18MSFRS-18","IL18MSFRS-18 x US16-IL-062-109","29 x 3","3 x 29",134.46,36.84,58.2,90.53,1.18,9.86,421.47,74,11.7
"1203","18","3","US16-IL-063-063 x IL18MSFRS-18","IL18MSFRS-18 x US16-IL-063-063","18 x 3","3 x 18",133.36,36.06,57.97,87.66,1.15,12.81,411.63,285.5,1.86
"1204","27","3","US16-IL-064-095 x IL18MSFRS-18","IL18MSFRS-18 x US16-IL-064-095","27 x 3","3 x 27",134.13,37.1,58.49,89.18,1.03,9.56,419.86,95,10.09
"1205","34","3","US17-IL-108-039 x IL18MSFRS-18","IL18MSFRS-18 x US17-IL-108-039","34 x 3","3 x 34",136.25,36.82,58.17,91.64,1.1,11.45,418.3,111,8.53
"1206","39","3","US17-IL-108-070 x IL18MSFRS-18","IL18MSFRS-18 x US17-IL-108-070","39 x 3","3 x 39",135.42,37.43,58.72,89.38,1.04,12.27,412.49,254,2.72
"1207","23","33","IL19-12830 x IL19-10123","IL19-10123 x IL19-12830","23 x 33","33 x 23",131.48,37.21,58.31,84.72,1.29,11.93,406.12,486,-3.65
"1208","37","33","IL19-13713 x IL19-10123","IL19-10123 x IL19-13713","37 x 33","33 x 37",130.18,36.43,58.15,83.99,1.01,6.83,417.14,129,7.37
"1209","14","33","IL19-13942 x IL19-10123","IL19-10123 x IL19-13942","14 x 33","33 x 14",129.19,36.5,58.06,82.88,1.07,8.92,414.37,194,4.6
"1210","7","33","IL19-13978 x IL19-10123","IL19-10123 x IL19-13978","7 x 33","33 x 7",129.64,36.73,58.24,83.35,1.19,10.58,411.2,310.5,1.43
"1211","4","33","IL19-14617 x IL19-10123","IL19-10123 x IL19-14617","4 x 33","33 x 4",129.02,36.74,58.06,86.61,1.37,12.43,424.37,45,14.6
"1212","1","33","IL19-14856 x IL19-10123","IL19-10123 x IL19-14856","1 x 33","33 x 1",129.43,37.34,57.93,87.47,1.18,9.61,430.36,14,20.59
"1213","38","33","IL19-15327 x IL19-10123","IL19-10123 x IL19-15327","38 x 33","33 x 38",131.38,37.61,57.79,85.84,1.17,8.85,412.05,269,2.28
"1214","8","33","IL19-18153 x IL19-10123","IL19-10123 x IL19-18153","8 x 33","33 x 8",131.36,36.15,58.13,86.53,1.16,10.79,417.75,117,7.98
"1215","30","33","IL19-18837 x IL19-10123","IL19-10123 x IL19-18837","30 x 33","33 x 30",131.75,36.07,57.93,84.87,1.09,9.43,409.37,374,-0.4
"1216","32","33","IL19-21760 x IL19-10123","IL19-10123 x IL19-21760","32 x 33","33 x 32",130.8,35.88,57.74,84.6,1.09,12.68,407.27,445,-2.5
"1217","10","33","IL19-22757 x IL19-10123","IL19-10123 x IL19-22757","10 x 33","33 x 10",130.94,36.97,58.63,84.74,1.23,11.54,409.96,353,0.19
"1218","31","33","IL19-23833 x IL19-10123","IL19-10123 x IL19-23833","31 x 33","33 x 31",131.74,37.32,58.35,86.15,1.21,12.42,412.22,266,2.45
"1219","28","33","IL19-27565 x IL19-10123","IL19-10123 x IL19-27565","28 x 33","33 x 28",131.87,37.72,58.97,84.29,0.98,7.84,410.22,342,0.45
"1220","35","33","IL19-3505 x IL19-10123","IL19-10123 x IL19-3505","35 x 33","33 x 35",130.44,37.24,58.03,85.57,1.08,8.72,420.56,86,10.79
"1221","20","33","IL19-3528 x IL19-10123","IL19-10123 x IL19-3528","20 x 33","33 x 20",130.43,37.48,58.03,85.16,1.11,9.61,417.67,118,7.9
"1222","19","33","IL19-6946 x IL19-10123","IL19-10123 x IL19-6946","19 x 33","33 x 19",131.04,36.7,58.03,86.4,1.48,13.9,411.12,313,1.35
